key;en;ru;kk_KZ
frame3;The body is assembled from two pairs of parts (side, end). M3 countersunk head screws are used to connect the body elements and mount the internal racks.;Корпус собирается из двух пар деталей (боковая, торцевая). Для соединения элементов корпуса и крепления внутренних стоек используются винты с потайной головкой М3.;Корпус екі бөліктен жиналады (бүйірлік, соңғы бөліктері). Корпус элементтерін қосу және ішкі тіректерді бекіту үшін М3 жасырын басы бар бұрандалар қолданылады.
bat1;Electrical Power System ;Подсистема энергоснабжения;Энергия жабдықтау жүйесі
bat2;Manages the electrical power from the solar panels.;Управляет электроэнергией от солнечных панелей. Отвечает за;Күн панельдерінен алынатын электр қуатын басқарады.
bat3;Responsible for storing energy in the batteries and distributing electricity to the satellite subsystems. For this reason, it must have a very high reliability compared to other components of the satellite.;хранение энергии в батареях и распределяет электроэнергию по подсистемам спутника. По этой причине, она должна иметь очень высокую надежность.;Батареяларда энергияны сақтауға және электр энергиясын спутниктің ішкі жүйелеріне таратуға жауапты. Осы себепті, ол спутниктің басқа жүйелерімен салыстырғанда өте жоғары сенімділікке ие болуы керек.
solar1;Solar panel;Cолнечная панель;Күн панелі
solar2;It is an integral part of the electrical power system.;Являются составной частью системы энергоснабжения.;Энергиямен жабдықтау жүйесінің құрамдас бөлігі болып табылады.
solar3;The size of the solar panels and the capacity of the batteries are determined based on the power consumption of a particular nanosatellite mission. ;Размер солнечных панелей и емкость аккумуляторных батарей определяются исходя их энергопотребления конкретной миссии спутника. ;Күн панельдерінің мөлшері мен аккумуляторлық батареялардың сыйымдылығы олардың спутниктің белгілі бір миссиясының қуат тұтынуына байланысты анықталады.
control1;Onboard Computer ;Бортовой компьютер;Борттық компьютер 
control2;It manages data transmission and storage, and processes signals for transmission to Earth.;Управляет передачей и хранением данных, обрабатывает;Деректерді беру мен сақтауды басқарады, Жерге жіберілетін сигналдарды өңдейді.
control3;It also has a communication system that is responsible for real-time information exchange between the satellite and the Earth.;сигналы для передачи на Землю. В ней также есть система связи, которая отвечает за обмен информации между спутником и Землей в режиме реального времени.;Сондай-ақ, компьютермен қоса нақты уақыт режиміндегі байланыс жүйесі бар. Ол наноспутник пен Жер арасындағы ақпарат алмасуына жауап береді.
air1;Payload Subsystem;Подсистема полезной нагрузки ;Пайдалы жүктеме жүйесі
air2;The satellite mission is closely related to the payload on board.;Миссия спутника тесно связана с полезной нагрузкой на борту. ;Миссия борттың пайдалы жүктемесімен тығыз байланысты.
air3;The air pollution sensor, which measures the concentration of microparticles PM2.5, PM10 dangerous for human health, was selected as the payload in this mission.;В качестве полезной нагрузки  в этой миссии был выбран датчик загрязненности воздуха, который измеряет концентрацию опасных для здоровья человека микрочастиц PM2.5, PM10.;Бұл миссияда пайдалы жүктеме ретінде адам денсаулығына қауіпті PM2.5 және PM10 микробөлшектерінің концентрациясын өлшейтін ауаның ластану сенсоры таңдалды.
top1;TOP subsystem;Подсистема ТОП;ТОП ішкі жүйесі
top2;The TOP subsystem is unique to the UniSat nanosatellite.;Подсистема ТОП присуща только наноспутнику UniSat. В других спутниках может;ТОП ішкі жүйесі тек UniSat наноспутнигіне тән.
top3;Other satellites may lack this subsystem. There is an RBF (Remove Before Flight) key and a GPS antenna. Also, the EPS subsystem is charged through this board.;отсутствовать данная подсистема. Тут расположен ключ RBF (Remote Before Flight) и антенна GPS. Также заряд подсистемы EPS происходит через данную плату.;Басқа спутниктерде бұл ішкі жүйе болмауы мүмкін. Осы жүйеде RBF (Remove Before Flight) кілті мен GPS антеннасы орналасқан. Және EPS ішкі жүйесінің заряды осы тақта арқылы жүреді.
